Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"dotnet.exe","3,81,749",0,100.00,0.00,"",
0,"[ntdll.dll]","3,80,240",2,99.60,0.00,"ntdll.dll",
1,"[kernel32.dll]","3,80,234",0,99.60,0.00,"kernel32.dll",
2,"[vcomp140.dll]","2,30,051",90,60.26,0.02,"vcomp140.dll",
3,"[vcomp140.dll]","2,29,911","5,076",60.23,1.33,"vcomp140.dll",
4,"[KernelBase.dll]","2,17,110","6,825",56.87,1.79,"KernelBase.dll",
5,"[ntdll.dll]","2,10,285","2,10,285",55.08,55.08,"ntdll.dll",
4,"[kernel32.dll]","4,482","4,482",1.17,1.17,"kernel32.dll",
4,"[vcomp140.dll]","3,243",2,0.85,0.00,"vcomp140.dll",
5,"[vcomp140.dll]","3,241",17,0.85,0.00,"vcomp140.dll",
6,"[Microsoft.Quantum.Simulator.Runtime.dll]","3,155",897,0.83,0.23,"Microsoft.Quantum.Simulator.Runtime.dll",
7,"[Microsoft.Quantum.Simulator.Runtime.dll]","2,154","2,154",0.56,0.56,"Microsoft.Quantum.Simulator.Runtime.dll",
7,"[vcomp140.dll]",104,59,0.03,0.02,"vcomp140.dll",
8,"[vcomp140.dll]",24,5,0.01,0.00,"vcomp140.dll",
9,"[ntdll.dll]",14,9,0.00,0.00,"ntdll.dll",
10,"[ntdll.dll]",5,5,0.00,0.00,"ntdll.dll",
9,"[KernelBase.dll]",4,4,0.00,0.00,"KernelBase.dll",
9,"[vcomp140.dll]",1,1,0.00,0.00,"vcomp140.dll",
8,"[kernel32.dll]",21,21,0.01,0.01,"kernel32.dll",
6,"[vcomp140.dll]",49,40,0.01,0.01,"vcomp140.dll",
7,"[vcomp140.dll]",9,3,0.00,0.00,"vcomp140.dll",
8,"[vcomp140.dll]",3,2,0.00,0.00,"vcomp140.dll",
9,"[ntdll.dll]",1,1,0.00,0.00,"ntdll.dll",
8,"[ntdll.dll]",3,3,0.00,0.00,"ntdll.dll",
6,"[ntdll.dll]",20,20,0.01,0.01,"ntdll.dll",
3,"[ntdll.dll]",50,50,0.01,0.01,"ntdll.dll",
2,"[coreclr.dll]","1,50,035",0,39.30,0.00,"coreclr.dll",
3,"[coreclr.dll]","1,50,034",0,39.30,0.00,"coreclr.dll",
4,"[coreclr.dll]","1,50,033",0,39.30,0.00,"coreclr.dll",
5,"[coreclr.dll]","1,50,032",0,39.30,0.00,"coreclr.dll",
6,"[coreclr.dll]","1,50,032",0,39.30,0.00,"coreclr.dll",
7,"[coreclr.dll]","1,50,032",0,39.30,0.00,"coreclr.dll",
8,"[coreclr.dll]","1,50,032",0,39.30,0.00,"coreclr.dll",
9,"[coreclr.dll]","1,50,032",0,39.30,0.00,"coreclr.dll",
10,"[coreclr.dll]","1,50,032",0,39.30,0.00,"coreclr.dll",
11,"[Unknown]","1,50,032",0,39.30,0.00,"[Unknown]",
12,"[Unknown]","1,50,032",0,39.30,0.00,"[Unknown]",
13,"[Unknown]","1,50,032",0,39.30,0.00,"[Unknown]",
14,"System.Threading.Tasks.Task`1[System.ValueTuple`2[System.Int64,System.Int64]].InnerInvoke","1,50,031",0,39.30,0.00,"System.Private.CoreLib.dll",
15,"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Boolean],System.ValueTuple`2[System.Int64,System.Int64]].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,49,897",0,39.27,0.00,"Microsoft.Quantum.Simulation.Core.dll",
