Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[advapi32.dll]","[advapi32.dll]",1,0,0.00,0.00,
"Caller","[advapi32.dll]","[advapi32.dll]",1,0,0.00,0.00,
"Caller","[advapi32.dll]","[coreclr.dll]",1,0,0.00,0.00,
"Callee","[advapi32.dll]","[advapi32.dll]",1,0,0.00,0.00,
"Callee","[advapi32.dll]","[ntdll.dll]",1,0,0.00,0.00,
"Root","[bcrypt.dll]","[bcrypt.dll]",1,0,0.00,0.00,
"Caller","[bcrypt.dll]","[combase.dll]",1,0,0.00,0.00,
"Callee","[bcrypt.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.00,0.00,
"Caller","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.00,0.00,
"Caller","[bcryptprimitives.dll]","[ntdll.dll]",1,0,0.00,0.00,
"Callee","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.00,0.00,
"Callee","[bcryptprimitives.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[clbcatq.dll]","[clbcatq.dll]",1,1,0.00,0.00,
"Caller","[clbcatq.dll]","[clbcatq.dll]",1,1,0.00,0.00,
"Caller","[clbcatq.dll]","[ntdll.dll]",1,0,0.00,0.00,
"Callee","[clbcatq.dll]","[clbcatq.dll]",1,1,0.00,0.00,
"Root","[clrjit.dll]","[clrjit.dll]",412,256,0.11,0.07,
"Caller","[clrjit.dll]","[clrjit.dll]",411,253,0.11,0.07,
"Caller","[clrjit.dll]","[coreclr.dll]",412,1,0.11,0.00,
"Caller","[clrjit.dll]","[ucrtbase.dll]",2,2,0.00,0.00,
"Callee","[clrjit.dll]","[clrjit.dll]",411,253,0.11,0.07,
"Callee","[clrjit.dll]","[coreclr.dll]",154,8,0.04,0.00,
"Callee","[clrjit.dll]","[KernelBase.dll]",5,0,0.00,0.00,
"Callee","[clrjit.dll]","[ntdll.dll]",2,2,0.00,0.00,
"Callee","[clrjit.dll]","[ucrtbase.dll]",7,2,0.00,0.00,
"Root","[combase.dll]","[combase.dll]",6,1,0.00,0.00,
"Caller","[combase.dll]","[combase.dll]",6,1,0.00,0.00,
"Caller","[combase.dll]","[coreclr.dll]",3,0,0.00,0.00,
"Caller","[combase.dll]","[rpcrt4.dll]",1,0,0.00,0.00,
"Caller","[combase.dll]","[Unknown]",3,0,0.00,0.00,
"Callee","[combase.dll]","[bcrypt.dll]",1,0,0.00,0.00,
"Callee","[combase.dll]","[combase.dll]",6,1,0.00,0.00,
"Callee","[combase.dll]","[KernelBase.dll]",1,0,0.00,0.00,
"Callee","[combase.dll]","[ntdll.dll]",2,0,0.00,0.00,
"Callee","[combase.dll]","[rpcrt4.dll]",1,0,0.00,0.00,
"Root","[coreclr.dll]","[coreclr.dll]","1,50,129","46,352",39.33,12.14,
"Caller","[coreclr.dll]","[clrjit.dll]",154,8,0.04,0.00,
"Caller","[coreclr.dll]","[coreclr.dll]","1,50,128","30,588",39.33,8.01,
"Caller","[coreclr.dll]","[hostpolicy.dll]",94,0,0.02,0.00,
"Caller","[coreclr.dll]","[kernel32.dll]","1,50,035",0,39.30,0.00,
"Caller","[coreclr.dll]","[ntdll.dll]",2,0,0.00,0.00,
"Caller","[coreclr.dll]","[Unknown]","40,317","10,613",10.56,2.78,
"Caller","[coreclr.dll]","dynamicClass.IL_STUB_PInvoke",2,0,0.00,0.00,
"Caller","[coreclr.dll]","dynamicClass.IL_STUB_PInvoke",9,9,0.00,0.00,
"Caller","[coreclr.dll]","dynamicClass.IL_STUB_PInvoke",19,18,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon._EnableExtraAssertsForArithmetic..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon._EnableExtraAssertsForArithmetic.<get_Body>b__5_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon._EnableExtraAssertsForArithmetic.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.<get_AdjointBody>b__11_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.<get_Body>b__9_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_AdjointBody",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_QFTLE",6,5,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_WithA",5,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA.<get_ControlledAdjointBody>b__13_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA.<get_ControlledBody>b__11_0",3,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA.get_QFTLE",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_AdjointBody>b__11_0",3,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_Body>b__9_0",10,6,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_AdjointBody",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_AsQubitArray",14,13,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_Body",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_Reverse",5,5,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.<get_AdjointBody>b__15_0",14,7,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.<get_Body>b__13_0",19,8,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_AdjointBody",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_AssertBoolEqual",14,13,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_Body",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveH",29,22,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveR1Frac",39,33,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ApproximateQFT.get_SwapReverseRegister",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.AsQubitArray.get_Body",2,0,0.00,0.00,
