Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[ntdll.dll]","3,80,240","2,42,181",99.60,63.44,
"[Microsoft.Quantum.Simulator.Runtime.dll]","77,877","46,848",20.40,12.27,
"[coreclr.dll]","1,50,129","46,352",39.33,12.14,
"[Unknown]","1,51,591","22,213",39.71,5.82,
"[KernelBase.dll]","2,18,781","7,255",57.31,1.90,
"[vcomp140.dll]","2,34,004","5,629",61.30,1.47,
"[kernel32.dll]","3,80,234","5,275",99.60,1.38,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits","9,848",470,2.58,0.12,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple","39,302",372,10.30,0.10,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get","3,497",320,0.92,0.08,
"[clrjit.dll]",412,256,0.11,0.07,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays","5,688",209,1.49,0.05,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.CanHaveQubitsSimple",716,137,0.19,0.04,
"Microsoft.Quantum.Simulation.Core.Qubit.GetQubits",843,120,0.22,0.03,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",508,108,0.13,0.03,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledAdjointBody>b__17_0","38,144",107,9.99,0.03,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetToQubitArrayMap","2,656",99,0.70,0.03,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledBody>b__15_0","37,463",96,9.81,0.03,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation","49,616",92,13.00,0.02,
"[ucrtbase.dll]",107,90,0.03,0.02,
"Microsoft.Quantum.Primitive.R1Frac.<get_ControlledAdjointBody>b__13_0","44,146",88,11.56,0.02,
"dynamicClass.IL_STUB_PInvoke","46,613",83,12.21,0.02,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].op_Addition","4,979",73,1.30,0.02,
"System.Linq.Enumerable.Select",577,69,0.15,0.02,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple","1,828",68,0.48,0.02,
"Microsoft.Quantum.Simulation.Simulators.AbstractFactory`1[System.__Canon].GetInstance","1,457",67,0.38,0.02,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_AdjointBody>b__15_0","41,442",63,10.86,0.02,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.EndOperation",376,62,0.10,0.02,
"Microsoft.Quantum.Simulation.Core.Extensions.Pow",58,58,0.02,0.02,
"Microsoft.Quantum.Primitive.R1Frac.<get_ControlledBody>b__11_0","43,423",56,11.37,0.01,
"Microsoft.Quantum.Simulation.Core.AbstractOperation.get_Factory",54,54,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.MoveNext",54,54,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsTuple",430,54,0.11,0.01,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_ControlledAdjointBody>b__13_0","24,065",52,6.30,0.01,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].get_Body",49,49,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]],System.__Canon].Apply","1,46,490",49,38.37,0.01,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_ControlledBody>b__11_0","47,546",49,12.45,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Double].Apply",81,48,0.02,0.01,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_Body>b__13_0","40,767",46,10.68,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",243,46,0.06,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon]],System.__Canon].Apply","47,799",45,12.52,0.01,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationEnd",329,39,0.09,0.01,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",39,39,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon]],System.__Canon].Apply","75,814",38,19.86,0.01,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].get_Body",37,37,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Resolve","1,511",37,0.40,0.01,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper+<>c.<MakeGetQubitsFunctionsDictionary>b__0_2",37,37,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize","2,873",35,0.75,0.01,
"Microsoft.Quantum.Simulation.Simulators.Extensions.GetIds",658,35,0.17,0.01,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR+<>c__DisplayClass11_0.<get_ControlledBody>b__2","46,651",33,12.22,0.01,
"Microsoft.Quantum.Primitive.CNOT.<get_Body>b__7_0","16,193",32,4.24,0.01,
"Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsMathPI",107,32,0.03,0.01,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply","89,377",30,23.41,0.01,
