Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[KernelBase.dll]","2,11,597",55.43,0x7FFC1D60C71D,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","44,095",11.55,0x7FFBF70F2940,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple","13,579",3.56,0x7FFB6FF0DB2B,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","12,818",3.36,0x7FFBF70F435B,0,0,0,0,
"[vcomp140.dll]","9,525",2.50,0x7FFC0AFD86BF,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple","9,510",2.49,0x7FFB6FF0DB23,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","7,300",1.91,0x7FFBF71320C5,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple","4,730",1.24,0x7FFB6FF0DAFD,0,0,0,0,
"[KernelBase.dll]","4,155",1.09,0x7FFC1D60C70F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].op_Addition","3,375",0.88,0x7FFB6FF16282,0,0,0,0,
"[vcomp140.dll]","3,179",0.83,0x7FFC0AFD16B6,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","3,110",0.81,0x7FFBF7132C7F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple","3,028",0.79,0x7FFB6FF0DB13,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits","2,116",0.55,0x7FFB6FF0C495,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetToQubitArrayMap","1,989",0.52,0x7FFB6FF0CF38,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","1,844",0.48,0x7FFBF7129D0E,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits","1,687",0.44,0x7FFB6FF0C553,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","1,600",0.42,0x7FFBF713301D,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].op_Addition","1,364",0.36,0x7FFB6FF16277,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get","1,332",0.35,0x7FFB6FEF8698,0,0,0,0,
"[KernelBase.dll]","1,212",0.32,0x7FFC1D60C729,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple","1,008",0.26,0x7FFB6FF0B595,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",856,0.22,0x7FFBF713409C,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply",791,0.21,0x7FFB6FF11B59,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple",784,0.21,0x7FFB6FF0DB3E,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.AbstractFactory`1[System.__Canon].GetInstance",764,0.20,0x7FFB6FEF86E1,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<Create>b__0",658,0.17,0x7FFB6FF2DB58,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",617,0.16,0x7FFB6FF126B3,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",606,0.16,0x7FFBF7133425,0,0,0,0,
"[KernelBase.dll]",578,0.15,0x7FFC1D5DB178,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",552,0.14,0x7FFB6FF0C3D8,0,0,0,0,
