Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[KernelBase.dll]","2,18,776",57.31,"2,18,781",57.31,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]","73,920",19.36,"77,877",20.40,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple","32,120",8.41,"39,302",10.30,0,0,0,0,
"[vcomp140.dll]","13,260",3.47,"2,34,004",61.30,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits","6,471",1.70,"9,848",2.58,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].op_Addition","4,964",1.30,"4,979",1.30,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetToQubitArrayMap","2,654",0.70,"2,656",0.70,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.Get","2,039",0.53,"3,497",0.92,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple","1,723",0.45,"1,828",0.48,0,0,0,0,
"[Unknown]","1,539",0.40,"1,51,591",39.71,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.Normalize","1,489",0.39,"2,873",0.75,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.AbstractFactory`1[System.__Canon].GetInstance","1,324",0.35,"1,457",0.38,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<Create>b__0","1,284",0.34,"4,216",1.10,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation","1,132",0.30,"2,676",0.70,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply",995,0.26,"5,863",1.54,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Qubit.GetQubits",835,0.22,843,0.22,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.GetTupleValues",772,0.20,983,0.26,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",738,0.19,"5,688",1.49,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",736,0.19,"1,819",0.48,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.CanHaveQubitsSimple",715,0.19,716,0.19,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",617,0.16,"1,040",0.27,0,0,0,0,
"System.Linq.Enumerable.Select",574,0.15,577,0.15,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",503,0.13,508,0.13,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",495,0.13,"1,489",0.39,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply",460,0.12,"89,377",23.41,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsTuple",422,0.11,430,0.11,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.BuildTuple",406,0.11,412,0.11,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",392,0.10,503,0.13,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Resolve",391,0.10,"1,511",0.40,0,0,0,0,
