Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"ntdll.dll","3,80,240","2,42,181",99.60,63.44,
"Microsoft.Quantum.Simulator.Runtime.dll","77,877","46,848",20.40,12.27,
"coreclr.dll","1,50,129","46,352",39.33,12.14,
"[Unknown]","1,51,591","22,213",39.71,5.82,
"KernelBase.dll","2,18,781","7,255",57.31,1.90,
"vcomp140.dll","2,34,004","5,629",61.30,1.47,
"kernel32.dll","3,80,234","5,275",99.60,1.38,
"Microsoft.Quantum.Simulation.Core.dll","1,49,904","3,267",39.27,0.86,
"Microsoft.Quantum.Simulation.Simulators.dll","1,29,868",824,34.02,0.22,
"Microsoft.Quantum.Primitives.dll","1,11,149",610,29.12,0.16,
"Microsoft.Quantum.Canon.dll","1,49,871",497,39.26,0.13,
"clrjit.dll",412,256,0.11,0.07,
"Microsoft.Quantum.Simulation.Common.dll","2,704",171,0.71,0.04,
"System.Linq.dll",761,116,0.20,0.03,
"System.Console.dll","61,492",107,16.11,0.03,
"ucrtbase.dll",107,90,0.03,0.02,
"System.Private.CoreLib.dll","1,50,042",44,39.30,0.01,
"hostpolicy.dll",133,6,0.03,0.00,
"hostfxr.dll",138,2,0.04,0.00,
"IntegerFactorization.dll","1,49,964",2,39.28,0.00,
"clbcatq.dll",1,1,0.00,0.00,
"combase.dll",6,1,0.00,0.00,
"rpcrt4.dll",1,1,0.00,0.00,
"win32u.dll",1,1,0.00,0.00,
"advapi32.dll",1,0,0.00,0.00,
"bcrypt.dll",1,0,0.00,0.00,
"bcryptprimitives.dll",1,0,0.00,0.00,
"cryptsp.dll",1,0,0.00,0.00,
"dotnet.exe",140,0,0.04,0.00,
"gdi32full.dll",1,0,0.00,0.00,
"msvcrt.dll",1,0,0.00,0.00,
"oleaut32.dll",1,0,0.00,0.00,
"user32.dll",2,0,0.00,0.00,
